video_id,video_title,channel,comment_text,comment_likes,sentiment,polarity,emotions
6bsNPNECHU8,This Palestinian Supporter REFUSES to Back Down! #viral #youtubeshorts #shorts #shortsfeed,Tech Islamic Spot,Mashallah subhanallah bashek allah huakbar,0,neutral,0.0,neutre
6bsNPNECHU8,This Palestinian Supporter REFUSES to Back Down! #viral #youtubeshorts #shorts #shortsfeed,Tech Islamic Spot,🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🥹🥹🥹🥹,0,neutral,0.0,neutre
6bsNPNECHU8,This Palestinian Supporter REFUSES to Back Down! #viral #youtubeshorts #shorts #shortsfeed,Tech Islamic Spot,He should run to Gaza and fight,0,neutral,0.0,neutre
6bsNPNECHU8,This Palestinian Supporter REFUSES to Back Down! #viral #youtubeshorts #shorts #shortsfeed,Tech Islamic Spot,Takva energija i muškost. Ja vidim nadu za palestince iako su oni trenutno sramota svih muslimana. Dragi palestinci budite hrabri mudri naoružajte se znanjem tehnologojom. Probajte da živite u miru ma,0,neutral,0.0,neutre
6bsNPNECHU8,This Palestinian Supporter REFUSES to Back Down! #viral #youtubeshorts #shorts #shortsfeed,Tech Islamic Spot,❤❤😢😢,0,neutral,0.0,neutre
6bsNPNECHU8,This Palestinian Supporter REFUSES to Back Down! #viral #youtubeshorts #shorts #shortsfeed,Tech Islamic Spot,❤❤❤😢😢😢😊😊,0,neutral,0.0,neutre
6bsNPNECHU8,This Palestinian Supporter REFUSES to Back Down! #viral #youtubeshorts #shorts #shortsfeed,Tech Islamic Spot,اللہ تعالیٰ فلسطین کی مدد فرمائیں ❤❤😢😢😢,0,neutral,0.0,neutre
6bsNPNECHU8,This Palestinian Supporter REFUSES to Back Down! #viral #youtubeshorts #shorts #shortsfeed,Tech Islamic Spot,MashaAllah ❤❤❤❤,0,neutral,0.0,neutre
6bsNPNECHU8,This Palestinian Supporter REFUSES to Back Down! #viral #youtubeshorts #shorts #shortsfeed,Tech Islamic Spot,🥰🥰🥰,0,neutral,0.0,neutre
6bsNPNECHU8,This Palestinian Supporter REFUSES to Back Down! #viral #youtubeshorts #shorts #shortsfeed,Tech Islamic Spot,We all love pelastine,0,positive,0.5,neutre
